Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Spain,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Russian Federation,Continent = EU,HDI = Medium,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Sweden,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = Italy,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Israel,Continent = AS,HDI = High,GDP = Medium,GINI = High
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Netherlands,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = Russian Federation,Continent = EU,HDI = Medium,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = France,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Sweden,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = Brazil,Continent = SA,HDI = Low,GDP = Low,GINI = High
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
